employeeId,firstName,lastName,gender,hireDate,birthDate
300025,Laura,Torres,F,2016-05-23,1987-02-24
300026,David,Martínez,F,2016-09-05,1985-08-29
300027,Laura,López,M,2021-08-21,1975-10-18
300028,Carlos,López,F,2017-04-30,1977-03-31
300029,Andrés,Moreno,F,2023-02-16,1997-07-10
300030,Juan,Fernández,M,2015-06-12,1998-12-29
300031,María,Martínez,F,2018-08-09,1984-08-10
300032,Lucía,Ruiz,F,2019-02-07,1985-11-26
300033,Ana,Suárez,F,2018-03-21,1984-01-08
300034,David,Rodríguez,F,2019-07-10,1985-04-25
300035,Laura,Rodríguez,F,2023-06-17,1997-04-29
300036,Laura,Martínez,M,2019-03-29,1997-02-01
300037,María,Pérez,M,2020-03-01,2000-02-21
300038,Laura,Martínez,M,2018-11-01,1991-03-28
300039,Carlos,Ruiz,M,2022-01-26,1997-08-15
300040,Carla,Suárez,M,2020-07-03,1993-11-01
300041,Laura,López,F,2020-09-01,2000-10-27
300042,Carlos,López,F,2016-05-20,1977-02-27
300043,Laura,Martínez,M,2015-01-11,1993-03-08
300044,David,Rodríguez,F,2020-02-16,1982-07-01
300045,Javier,Torres,F,2017-06-13,1980-12-15
300046,David,Suárez,F,2017-03-29,1985-12-27
300047,Laura,Martínez,M,2023-11-23,1980-07-08
300048,Laura,Pérez,M,2022-11-13,1988-07-28
300049,Carla,Torres,M,2022-05-27,1993-12-21
300050,Ana,Torres,F,2020-02-21,1988-08-24
300051,Carlos,Ruiz,M,2018-08-10,1992-01-24
300052,Laura,Ruiz,M,2018-07-28,1975-07-26
300053,Ana,Pérez,F,2021-07-18,1985-01-03
300054,Carlos,Gómez,F,2015-12-03,1995-08-07
300055,Carla,Gómez,F,2023-03-18,1978-05-08
300056,David,Pérez,F,2016-02-18,1991-08-01
300057,Javier,Suárez,F,2022-09-29,1986-06-09
300058,Andrés,Martínez,F,2022-06-20,1995-10-13
300059,Carla,Ruiz,M,2021-04-30,1978-01-16
300060,Laura,Gómez,M,2023-06-23,1989-06-04
300061,Javier,Torres,M,2021-05-22,1978-07-05
300062,Laura,Rodríguez,M,2023-01-18,1984-01-07
300063,Laura,Rodríguez,F,2022-09-01,1990-02-09
300064,David,Ruiz,F,2015-02-20,1980-10-09
300065,Juan,Torres,F,2016-06-30,1996-08-27
300066,David,Martínez,F,2023-12-28,2000-08-19
300067,Laura,Ruiz,M,2016-10-22,1979-05-23
300068,Lucía,Fernández,M,2023-02-07,1990-11-20
300069,Ana,Moreno,F,2018-07-11,1980-08-16
300070,David,Torres,F,2022-12-13,1983-10-23
300071,Carla,López,M,2021-01-17,1985-02-14
300072,Javier,Pérez,F,2020-10-11,1988-10-28
300073,Lucía,Torres,M,2016-01-25,1981-02-06
300074,Javier,Pérez,M,2021-12-15,1980-06-25
300075,Carla,Suárez,F,2019-07-08,1983-05-26
300076,Juan,Moreno,M,2017-12-15,1986-07-05
300077,Lucía,Gómez,F,2022-10-02,1996-03-06
300078,Lucía,Fernández,F,2022-02-15,1989-01-11
300079,Carla,Suárez,M,2017-03-08,1999-09-28
300080,Ana,Suárez,M,2023-01-27,1990-12-31
300081,Javier,Moreno,F,2019-09-30,1996-02-25
300082,María,Ruiz,F,2023-07-31,1981-10-21
300083,Laura,Suárez,F,2016-01-18,1983-10-14
300084,Javier,Pérez,F,2021-10-01,1995-12-04
300085,Javier,López,F,2019-11-21,1991-12-18
300086,Lucía,Suárez,F,2019-06-20,1999-08-10
300087,David,Fernández,F,2015-04-15,1989-03-14
300088,Carla,Rodríguez,M,2018-07-13,1978-06-11
300089,Andrés,Torres,M,2017-12-29,1996-05-28
300090,María,Suárez,F,2022-11-25,1978-09-12
300091,Carla,Rodríguez,F,2023-08-24,1977-07-27
300092,Andrés,Suárez,M,2015-05-31,1977-02-02
300093,Lucía,Suárez,F,2020-07-24,1980-09-21
300094,Laura,Suárez,M,2021-07-05,1975-04-23
300095,Laura,Rodríguez,F,2018-05-19,1979-11-26
300096,Andrés,Moreno,F,2021-05-01,1991-07-10
300097,Ana,Ruiz,M,2017-05-01,1985-08-12
300098,Lucía,Rodríguez,F,2016-04-29,1987-10-05
